ID,City Name,Latitude,Longitude,Country
4724892,Saint Hedwig,29.4144,-98.20001,United States
4724966,Saint Jo,33.69483,-97.52252,United States
4725484,Saint Paul,33.04123,-96.55027,United States
4725486,Saint Paul,28.09946,-97.55583,United States
4725807,Salado,30.94713,-97.53862,United States
4726133,Sam Rayburn,31.06408,-94.03575,United States
4726206,San Antonio,29.42412,-98.49363,United States
4726256,San Augustine,31.5299,-94.10603,United States
4726290,San Benito,26.13258,-97.6311,United States
4726293,San Carlos,26.29563,-98.07195,United States
4726311,San Diego,27.76391,-98.2389,United States
4726319,San Felipe,29.79301,-96.10079,United States
4726440,San Juan,26.18924,-98.15529,United States
4726477,San Leon,29.48329,-94.92215,United States
4726491,San Marcos,29.88327,-97.94139,United States
4726500,San Leanna,30.14577,-97.81806,United States
4726526,San Pedro,25.98175,-97.59638,United States
4726527,San Pedro,31.47629,-95.37828,United States
4726569,San Perlita,26.50118,-97.63971,United States
4726582,San Saba,31.19572,-98.7181,United States
4726603,San Ygnacio,27.04253,-99.44004,United States
4726957,Sanger,33.36317,-97.1739,United States
4726971,Sansom Park,32.80596,-97.40307,United States
4726982,Santa Anna,31.74209,-99.32173,United States
4726994,Santa Clara,29.5119,-98.1214,United States
4727022,Santa Fe,29.37801,-95.10576,United States
4727054,Santa Maria,26.07869,-97.84944,United States
4727076,Santa Rosa,26.25674,-97.825,United States
4727159,Sarita,27.22171,-97.78916,United States
4727227,Savoy,33.59927,-96.36665,United States
4727290,Scenic Oaks,29.71078,-98.67586,United States
4727326,Schertz,29.55217,-98.26973,United States
4727417,Schulenburg,29.6819,-96.90304,United States
4727466,Scissors,26.1398,-98.05389,United States
4727571,Scurry,32.51875,-96.38082,United States
4727596,Seabrook,29.56412,-95.02548,United States
4727602,Seadrift,28.41528,-96.71359,United States
4727605,Seagoville,32.63958,-96.53832,United States
4727629,Sealy,29.78079,-96.15718,United States
4727651,Sebastian,26.34285,-97.79027,United States
4727756,Seguin,29.56884,-97.96473,United States
4727785,Selma,29.58439,-98.30585,United States
4727831,Serenada,30.69936,-97.69195,United States
4727873,Seven Points,32.32042,-96.21303,United States
4727948,Seymour,33.59426,-99.26035,United States
4728052,Shady Hollow,30.16493,-97.86223,United States
4728064,Shady Shores,33.16512,-97.02945,United States
4728083,Shamrock,32.5993,-96.8875,United States
4728147,Shavano Park,29.58495,-98.55252,United States
4728238,Sheldon,29.868,-95.12826,United States
4728287,Shenandoah,30.18022,-95.45577,United States
4728298,Shepherd,30.49798,-94.9966,United States
4728328,Sherman,33.63566,-96.60888,United States
4728357,Sherwood Shores,33.85232,-96.81778,United States
4728482,Shiner,29.42913,-97.17054,United States
4728557,Shoreacres,29.62023,-95.00993,United States
4728608,Sienna Plantation,29.48607,-95.508,United States
4728616,Siesta Shores,26.8581,-99.25365,United States
4728653,Silsbee,30.3491,-94.17796,United States
4728743,Simonton,29.6794,-95.97718,United States
4728826,Sinton,28.03668,-97.50916,United States
4728911,Skidmore,28.25417,-97.68555,United States
4729065,Smiley,29.26774,-97.63583,United States
4729284,Smithville,30.00855,-97.15943,United States
4729386,Snook,30.48918,-96.46537,United States
4732780,Solis,26.16174,-97.84361,United States
4732801,Somerset,29.22635,-98.6578,United States
4732809,Somerville,30.34604,-96.5283,United States
4732862,Sour Lake,30.14021,-94.41102,United States
4732870,South Alamo,26.15702,-98.10862,United States
4733042,South Houston,29.66301,-95.23549,United States
4733103,South Padre Island,26.10369,-97.16469,United States
4733129,South Point,25.86869,-97.38359,United States
4733313,Southlake,32.94124,-97.13418,United States
4733321,Southmayd,33.63038,-96.76916,United States
4733362,Southside Place,29.70606,-95.43688,United States
4733485,Sparks,30.92852,-97.35972,United States
4733593,Splendora,30.23299,-95.16104,United States
4733624,Spring,30.07994,-95.41716,United States
4733891,Spring Valley,29.78967,-95.50355,United States
4733940,Springtown,32.96596,-97.68364,United States
4734005,Stafford,29.61607,-95.55772,United States
4734027,Stagecoach,30.14549,-95.71356,United States
4734041,Stamford,32.94539,-99.80287,United States
4734350,Stephenville,32.2207,-98.20226,United States
4734523,Stockdale,29.23691,-97.96,United States
4734587,Stonewall,30.23604,-98.66448,United States
4734646,Stowell,29.78994,-94.38324,United States
4734683,Strawn,32.55207,-98.49811,United States
4734825,Sugar Land,29.61968,-95.63495,United States
4734864,Sullivan City,26.27757,-98.56363,United States
4734909,Sulphur Springs,33.13845,-95.60107,United States
4735013,Sunnyvale,32.79652,-96.56082,United States
4735027,Sunrise Beach Village,30.59963,-98.41003,United States
4735085,Sunset Valley,30.22576,-97.80362,United States
4735111,Surfside Beach,28.94441,-95.28883,United States
4735190,Sweeny,29.03886,-95.69856,United States
4735458,Taft,27.97891,-97.3986,United States
4735467,Taft Southwest (historical),27.97391,-97.40305,United States
4735486,Talco,33.36261,-95.10466,United States
4735524,Talty,32.68319,-96.38554,United States
4735674,Tatum,32.31599,-94.51659,United States
4735702,Taylor,30.57076,-97.40944,United States
4735771,Taylor Lake Village,29.57523,-95.05021,United States
4735813,Teague,31.62711,-96.28386,United States
4735964,Tenaha,31.94378,-94.24409,United States
4735966,Temple,31.09823,-97.34278,United States
4736028,Terrell,32.73596,-96.27526,United States
4736043,Terrell Hills,29.47495,-98.45085,United States
4736096,Texarkana,33.42513,-94.04769,United States
4736134,Texas City,29.38385,-94.9027,United States
4736388,The Colony,33.08901,-96.88639,United States
4736420,The Hills,30.34798,-97.98501,United States
4736476,The Woodlands,30.15799,-95.48938,United States
4736679,Thornton,31.41101,-96.5722,United States
