City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,"alakurtti,ru",66.9672,30.3491,19.24,97,99,2.53,RU,1611619074
1,"chuy,uy",-33.6971,-53.4616,74.01,85,3,10.38,UY,1611619075
2,"naze,jp",28.3667,129.4833,66.2,82,75,9.22,JP,1611619075
3,"hithadhoo,mv",-0.6,73.0833,81.23,73,91,2.93,MV,1611618893
4,"san patricio,mx",19.2167,-104.7,78.8,78,40,17.27,MX,1611619075
5,"cidreira,br",-30.1811,-50.2056,76.41,84,47,9.93,BR,1611619075
6,"hasaki,jp",35.7333,140.8333,41.0,93,20,8.05,JP,1611618911
7,"aasiaat,gl",68.7098,-52.8699,0.43,82,1,5.44,GL,1611619075
8,"bluff,nz",-46.6,168.3333,80.01,46,100,21.99,NZ,1611619075
9,"hobart,au",-42.8794,147.3294,70.0,45,75,16.11,AU,1611619037
10,"evensk,ru",61.95,159.2333,-1.34,82,100,14.76,RU,1611619075
11,"vanimo,pg",-2.6741,141.3028,83.75,72,85,0.92,PG,1611619075
12,"bengkulu,id",-3.8004,102.2655,73.11,93,100,7.02,ID,1611619075
13,"cherskiy,ru",68.75,161.3,-36.65,82,61,2.21,RU,1611619076
14,"butaritari,ki",3.0707,172.7902,79.57,77,95,6.51,KI,1611619076
15,"georgetown,sh",-7.9333,-14.4167,75.58,76,43,11.83,SH,1611619076
16,"salalah,om",17.0151,54.0924,69.8,46,0,5.75,OM,1611619076
17,"esperance,au",-33.8667,121.9,62.6,77,75,5.75,AU,1611619076
18,"nikolskoye,ru",59.7035,30.7861,37.0,93,90,6.71,RU,1611619076
19,"tiksi,ru",71.6872,128.8694,-40.38,80,96,6.73,RU,1611619076
20,"komsomolskiy,ru",43.9783,46.6985,39.69,92,5,11.36,RU,1611619076
21,"ushuaia,ar",-54.8,-68.3,50.0,46,40,17.27,AR,1611619076
22,"rikitea,pf",-23.1203,-134.9692,79.83,71,1,14.05,PF,1611619076
23,"cherskiy,ru",68.75,161.3,-36.65,82,61,2.21,RU,1611619076
24,"hobart,au",-42.8794,147.3294,70.0,45,75,16.11,AU,1611619037
25,"clyde river,ca",70.4692,-68.5914,8.6,92,1,33.38,CA,1611619077
26,"west bay,ky",19.3667,-81.4167,80.6,78,20,10.36,KY,1611619077
27,"port hardy,ca",50.6996,-127.4199,39.2,75,75,6.91,CA,1611619077
28,"castro,cl",-42.4721,-73.7732,60.8,44,0,9.22,CL,1611619077
29,"hamilton,bm",32.2915,-64.778,63.0,72,75,19.57,BM,1611619077
30,"nanortalik,gl",60.1432,-45.2371,21.81,89,6,10.89,GL,1611619077
31,"victoria,sc",-4.6167,55.45,77.0,88,20,3.44,SC,1611619077
32,"faanui,pf",-16.4833,-151.75,81.14,76,46,17.9,PF,1611619077
33,"touros,br",-5.1989,-35.4608,78.8,83,40,6.91,BR,1611618901
34,"cape town,za",-33.9258,18.4232,68.0,82,0,18.41,ZA,1611619021
35,"rikitea,pf",-23.1203,-134.9692,79.83,71,1,14.05,PF,1611619076
36,"caravelas,br",-17.7125,-39.2481,75.54,84,88,3.15,BR,1611619078
37,"alofi,nu",-19.0595,-169.9187,82.4,73,90,10.36,NU,1611619078
38,"jamestown,sh",-15.9387,-5.7168,68.86,92,53,15.01,SH,1611619078
39,"rikitea,pf",-23.1203,-134.9692,79.83,71,1,14.05,PF,1611619076
40,"quatre cocos,mu",-20.2078,57.7625,75.0,94,20,6.91,MU,1611619078
41,"kattivakkam,in",13.2167,80.3167,71.6,88,20,3.47,IN,1611618870
42,"syasstroy,ru",60.1367,32.5691,34.52,97,100,6.64,RU,1611619078
43,"kapaa,us",22.0752,-159.319,75.99,100,90,21.85,US,1611618898
44,"jamestown,sh",-15.9387,-5.7168,68.86,92,53,15.01,SH,1611619078
45,"rikitea,pf",-23.1203,-134.9692,79.83,71,1,14.05,PF,1611619076
46,"srednekolymsk,ru",67.45,153.6833,-40.77,80,34,0.38,RU,1611618930
